final_summary,audience,example,person,ground_truth,word_count,character_count,rouge,bleu,bleurt,ter
"The user investigated an event in the intelligence domain by analyzing multiple documents related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to Nigeria, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Yemen, Dubai, Gaza, Russia, Thailand, and Columbia. The user found evidence of proposed and realized arms deals and the involvement of Leonid Minsky, an international gun smuggler, in these deals. They also found intercepted emails discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00 and a potential fraudulent scheme involving bank transfers, contract details, and approval processes. The user analyzed a surveillance report on Akram Basra, suspected to be associated with a top leader in the Karachi faction of Lashkar-e-Jhangvi. They also read about the deaths of Thabiti Otieno and Nahid Owiti, a married couple from Narok, who passed away on May 1, 2009, at Nairobi Hospital. The user found an intercepted US government telephone conversation discussing the safe arrival of Tanya's jewels, Nicolai, Nahid, Nairobi, and Dubai. They also read about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user added notes about Kasem and Khouri in Gaza and Minsky and Nikolai in Russia. They also found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. The user searched for information related to sickness and infection and added notes about Jhon and Hombre exchanging birthday presents. Overall, the user's investigation revealed a complex network of arms dealing, fraudulent schemes, and illegal activities involving multiple countries and individuals.",none,none,2,manual,288,1555,0.120930233,0,-0.880092859,92.01388889
"The user investigated an event in the intelligence domain by analyzing multiple documents related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to Nigeria, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Yemen, Dubai, Gaza, Russia, Thailand, and Columbia. The user found evidence of proposed and realized arms deals and the involvement of Leonid Minsky, an international gun smuggler, in these deals. They also found intercepted emails discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00 and a potential fraudulent scheme involving bank transfers, contract details, and approval processes. The user analyzed a surveillance report on Akram Basra, suspected to be associated with a top leader in the Karachi faction of Lashkar-e-Jhangvi. They also read about the deaths of Thabiti Otieno and Nahid Owiti, a married couple from Narok, who passed away on May 1, 2009, at Nairobi Hospital. The user found an intercepted US government telephone conversation discussing the safe arrival of Tanya's jewels, Nicolai, Nahid, Nairobi, and Dubai. They also read about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user added notes about Kasem and Khouri in Gaza and Minsky and Nikolai in Russia. They also found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. The user searched for information related to sickness and infection and added notes about Jhon and Hombre exchanging birthday presents. Overall, the user's investigation revealed a complex network of arms dealing, fraudulent schemes, and illegal activities involving multiple countries and individuals.",none,none,2,baseline,288,1555,0,0,0,0
"The user investigated an event in the intelligence domain by analyzing multiple documents related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to Nigeria, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Yemen, Dubai, Gaza, Russia, Thailand, and Columbia. The user found evidence of proposed and realized arms deals and the involvement of Leonid Minsky, an international gun smuggler, in these deals. They also found intercepted emails discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00 and a potential fraudulent scheme involving bank transfers, contract details, and approval processes. The user analyzed a surveillance report on Akram Basra, suspected to be associated with a top leader in the Karachi faction of Lashkar-e-Jhangvi. They also read about the deaths of Thabiti Otieno and Nahid Owiti, a married couple from Narok, who passed away on May 1, 2009, at Nairobi Hospital. The user found an intercepted US government telephone conversation discussing the safe arrival of Tanya's jewels, Nicolai, Nahid, Nairobi, and Dubai. They also read about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user added notes about Kasem and Khouri in Gaza and Minsky and Nikolai in Russia. They also found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. The user searched for information related to sickness and infection and added notes about Jhon and Hombre exchanging birthday presents. Overall, the user's investigation revealed a complex network of arms dealing, fraudulent schemes, and illegal activities involving multiple countries and individuals.",none,none,2,additional,288,1555,0,0,0,0
"This user conducted an investigation into events related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to several countries, including Nigeria, Yemen, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Dubai, and Columbia. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts to collect evidence of proposed and realized arms deals and the involvement of individuals in these deals. They also read documents related to fraudulent schemes involving bank transfers, contract details, and approval processes. The user highlighted several characters of interest, including Leonid Minsky, Nicolai, Saleh Ahmed, Borodinski, and Baltasar. They spent more time understanding the behaviors of Saleh Ahmed and realized that their close ally, Baltasar, was using the code name ""Professor."" The user also noted the April 19th reunion in Dubai and the transaction to take place at an upcoming meeting on April 15. They returned to Sickness in the final segment but did not make any clear conclusions from their analysis. Overall, the user conducted a thorough investigation into the events related to arms dealing and fraudulent schemes, highlighting key characters and events that could be relevant to the investigation.",none,manual_example,2,manual,190,1077,0.347826087,0.199548648,-0.295862287,80
"This user conducted an investigation into events related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to several countries, including Nigeria, Yemen, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Dubai, and Columbia. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts to collect evidence of proposed and realized arms deals and the involvement of individuals in these deals. They also read documents related to fraudulent schemes involving bank transfers, contract details, and approval processes. The user highlighted several characters of interest, including Leonid Minsky, Nicolai, Saleh Ahmed, Borodinski, and Baltasar. They spent more time understanding the behaviors of Saleh Ahmed and realized that their close ally, Baltasar, was using the code name ""Professor."" The user also noted the April 19th reunion in Dubai and the transaction to take place at an upcoming meeting on April 15. They returned to Sickness in the final segment but did not make any clear conclusions from their analysis. Overall, the user conducted a thorough investigation into the events related to arms dealing and fraudulent schemes, highlighting key characters and events that could be relevant to the investigation.",none,manual_example,2,baseline,190,1077,0.364754098,0.269662597,-0.265607536,114.7368421
"This user conducted an investigation into events related to arms dealing, fraudulent schemes, and intercepted emails. They searched for information related to several countries, including Nigeria, Yemen, Kenya, Syria, Pakistan, Saudi Arabia, Venezuela, Dubai, and Columbia. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts to collect evidence of proposed and realized arms deals and the involvement of individuals in these deals. They also read documents related to fraudulent schemes involving bank transfers, contract details, and approval processes. The user highlighted several characters of interest, including Leonid Minsky, Nicolai, Saleh Ahmed, Borodinski, and Baltasar. They spent more time understanding the behaviors of Saleh Ahmed and realized that their close ally, Baltasar, was using the code name ""Professor."" The user also noted the April 19th reunion in Dubai and the transaction to take place at an upcoming meeting on April 15. They returned to Sickness in the final segment but did not make any clear conclusions from their analysis. Overall, the user conducted a thorough investigation into the events related to arms dealing and fraudulent schemes, highlighting key characters and events that could be relevant to the investigation.",none,manual_example,2,additional,190,1077,0.368932039,0.339210042,-0.102753989,82.10526316
"This user focused on activities related to arms dealing, money laundering, and fraud. They searched for documents related to Nigeria, Leonid Minsky, and arms deals. They collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals. The user also read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They searched for information related to Kenya, Lebanon, Saudi Arabia, and Venezuela. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to arms dealing, money laundering, and fraud. They also read documents related to North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user searched for evidence of sickness and infection and read documents related to their previous understanding of the investigation. Throughout the interaction, the user made connections between different characters and events, such as the potential involvement of Nicolai in arms dealing and the reunion celebration at the Burj Al Arab hotel in Dubai. They also noted the deaths of Thabiti Otieno and Nahid Owiti and the seizure of an Ilyushin IL-76 aircraft carrying 35 tons of weapons from North Korea during a refueling stop in Bangkok. The user added notes about Jhon and Hombre exchanging birthday presents and Baltasar being in Turkey, aka the professor. Overall, the user used a breadth-based approach to reading documents and analyzing information, making connections between different events and characters to gain a better understanding of the investigation.",none,masked_manual_example,2,manual,282,1545,0.161904762,0.032876091,-0.690255821,90.42553191
"This user focused on activities related to arms dealing, money laundering, and fraud. They searched for documents related to Nigeria, Leonid Minsky, and arms deals. They collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals. The user also read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They searched for information related to Kenya, Lebanon, Saudi Arabia, and Venezuela. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to arms dealing, money laundering, and fraud. They also read documents related to North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user searched for evidence of sickness and infection and read documents related to their previous understanding of the investigation. Throughout the interaction, the user made connections between different characters and events, such as the potential involvement of Nicolai in arms dealing and the reunion celebration at the Burj Al Arab hotel in Dubai. They also noted the deaths of Thabiti Otieno and Nahid Owiti and the seizure of an Ilyushin IL-76 aircraft carrying 35 tons of weapons from North Korea during a refueling stop in Bangkok. The user added notes about Jhon and Hombre exchanging birthday presents and Baltasar being in Turkey, aka the professor. Overall, the user used a breadth-based approach to reading documents and analyzing information, making connections between different events and characters to gain a better understanding of the investigation.",none,masked_manual_example,2,baseline,282,1545,0.395904437,0.376396863,-0.203769311,89.36170213
"This user focused on activities related to arms dealing, money laundering, and fraud. They searched for documents related to Nigeria, Leonid Minsky, and arms deals. They collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals. The user also read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They searched for information related to Kenya, Lebanon, Saudi Arabia, and Venezuela. The user analyzed intercepted emails, surveillance reports, and US government telephone intercepts related to arms dealing, money laundering, and fraud. They also read documents related to North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year. The user searched for evidence of sickness and infection and read documents related to their previous understanding of the investigation. Throughout the interaction, the user made connections between different characters and events, such as the potential involvement of Nicolai in arms dealing and the reunion celebration at the Burj Al Arab hotel in Dubai. They also noted the deaths of Thabiti Otieno and Nahid Owiti and the seizure of an Ilyushin IL-76 aircraft carrying 35 tons of weapons from North Korea during a refueling stop in Bangkok. The user added notes about Jhon and Hombre exchanging birthday presents and Baltasar being in Turkey, aka the professor. Overall, the user used a breadth-based approach to reading documents and analyzing information, making connections between different events and characters to gain a better understanding of the investigation.",none,masked_manual_example,2,additional,282,1545,0.337254902,0.293439287,-0.224726051,81.20567376
"They focused on several main topics in this analysis session, exploring 100% of the documents. The topics that received the most attention were arms dealing, money laundering, and fraud. They started searching for documents related to arms dealing and highlighted Nigeria in February 2009. They read and analyzed documents related to illegal arms deals, Ministry Police, witness testimony, conviction, and war crimes. They also read and analyzed documents related to Leonid Minsky, an international gun smuggler, who was part of an international criminal organization involved in diamond smuggling, arms deals, money laundering, and prostitution. The user collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals.The user then read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They also read an intercepted email discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00, suggesting fraud, contract payment, Nigeria, business dealings, and money transfer.The user continued to analyze documents related to arms dealing, money laundering, and fraud. They read documents related to Tanya's jewels, Nairobi, Dubai, Nicolai, and Nahid. They also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution.The user opened and analyzed several documents related to arms dealing, money laundering, and fraud. They read documents related to the delivery of textbooks in Dubai, a reunion celebration at the Burj Al Arab hotel in Dubai, and farming equipment going to Sana'a. They also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, containing a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies.The user connected documents related to illegal arms smuggling, North Korea, and the Ilyushin aircraft. They added a note about Baltasar in Turkey, aka the professor. They also read an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15.They conducted 10 searches throughout their session, focusing on Nigeria, Iran, Kenya, Syria, Pakistan, Saudi Arabia, Lebanon, and Columbia.",none,masked_template,2,manual,375,2050,0.126923077,0.006355973,-0.962102234,92.63157895
"They focused on several main topics in this analysis session, exploring 100% of the documents. The topics that received the most attention were arms dealing, money laundering, and fraud. They started searching for documents related to arms dealing and highlighted Nigeria in February 2009. They read and analyzed documents related to illegal arms deals, Ministry Police, witness testimony, conviction, and war crimes. They also read and analyzed documents related to Leonid Minsky, an international gun smuggler, who was part of an international criminal organization involved in diamond smuggling, arms deals, money laundering, and prostitution. The user collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals.The user then read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They also read an intercepted email discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00, suggesting fraud, contract payment, Nigeria, business dealings, and money transfer.The user continued to analyze documents related to arms dealing, money laundering, and fraud. They read documents related to Tanya's jewels, Nairobi, Dubai, Nicolai, and Nahid. They also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution.The user opened and analyzed several documents related to arms dealing, money laundering, and fraud. They read documents related to the delivery of textbooks in Dubai, a reunion celebration at the Burj Al Arab hotel in Dubai, and farming equipment going to Sana'a. They also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, containing a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies.The user connected documents related to illegal arms smuggling, North Korea, and the Ilyushin aircraft. They added a note about Baltasar in Turkey, aka the professor. They also read an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15.They conducted 10 searches throughout their session, focusing on Nigeria, Iran, Kenya, Syria, Pakistan, Saudi Arabia, Lebanon, and Columbia.",none,masked_template,2,baseline,375,2050,0.352769679,0.294827611,-0.427260727,79.47368421
"They focused on several main topics in this analysis session, exploring 100% of the documents. The topics that received the most attention were arms dealing, money laundering, and fraud. They started searching for documents related to arms dealing and highlighted Nigeria in February 2009. They read and analyzed documents related to illegal arms deals, Ministry Police, witness testimony, conviction, and war crimes. They also read and analyzed documents related to Leonid Minsky, an international gun smuggler, who was part of an international criminal organization involved in diamond smuggling, arms deals, money laundering, and prostitution. The user collected evidence of proposed and realized arms deals and the involvement of Minsky in these deals.The user then read documents related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services for waterways and byways in Nigeria. They also read an intercepted email discussing a coded account at the Central Bank of Nigeria containing $30,600,000.00, suggesting fraud, contract payment, Nigeria, business dealings, and money transfer.The user continued to analyze documents related to arms dealing, money laundering, and fraud. They read documents related to Tanya's jewels, Nairobi, Dubai, Nicolai, and Nahid. They also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution.The user opened and analyzed several documents related to arms dealing, money laundering, and fraud. They read documents related to the delivery of textbooks in Dubai, a reunion celebration at the Burj Al Arab hotel in Dubai, and farming equipment going to Sana'a. They also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, containing a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies.The user connected documents related to illegal arms smuggling, North Korea, and the Ilyushin aircraft. They added a note about Baltasar in Turkey, aka the professor. They also read an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15.They conducted 10 searches throughout their session, focusing on Nigeria, Iran, Kenya, Syria, Pakistan, Saudi Arabia, Lebanon, and Columbia.",none,masked_template,2,additional,375,2050,0.268852459,0.164220027,-0.368882507,82.89473684
"In this interaction, the user investigated various documents related to arms dealing, intercepted emails, and surveillance reports. The user searched for documents related to arms deals and Nigeria, and analyzed documents about Leonid Minsky, a prominent international gun smuggler. They found evidence of several proposed and realized arms deals. The user also analyzed intercepted emails related to a potential fraudulent scheme involving a contract payment owed to Dr. George Ngoki's company for engineering and construction services in Nigeria. The emails suggest that Ngoki was involved in a scheme to transfer $30,600,000.00 from a coded account at the Central Bank of Nigeria to a recipient's bank account by making it appear as an actual contract payment. The user also read documents related to arms dealing, including intercepted emails and reports. They found information about a conversation between a caller in Moscow and a receiver in Nairobi discussing the safe arrival of Tanya's jewels. Nicolai expects the receiver in Dubai on the 17th and the receiver confirms that they will meet with the caller and Nahid there. The user also read a document about North Korea's sales of missiles, missile parts, and other arms to countries like Iran, Syria, and Myanmar, which violate a U.N. resolution designed to punish North Korea for consistently violating UN-imposed sanctions over the past year.The user analyzed various documents related to arms dealing, intercepted emails, and surveillance reports. They read documents related to a meeting in Dubai on April 16th, where textbooks were to be delivered, and a reunion celebration at the Burj Al Arab hotel in Dubai on April 19th. The user also read a surveillance report from the Israeli Defense Forces Military Intelligence Directorate, provided to the CIA, which contained a telephone conversation between Muhammad Kasem and Abdullah Khouri, discussing a meeting in April where they plan to exchange cash for supplies. The user searched for evidence of sickness and found an intercepted email from Mikhail Dombrovski to Dr. George discussing a transaction to take place at an upcoming meeting on April 15. Dombrovski urges George not to let minor health issues become a distraction to their mutual business success and requests a call for more details. The user also searched for information related to Columbia and read documents about exchanging birthday presents. They added notes to some of the documents and continued to browse through various documents.",self,none,2,manual,393,2066,0.11588785,0,-0.943561852,93.40101523
